Language;File;Context;101%;Repetitions;100% Matches;95% - 99%;85% - 94%;75% - 84%;50% - 74%;No Match;Total;Weighted Wordcounts;Cost
ara;U:\594020\source\300\TASK 300__DELL_AI Software collection_TRANSLATIONS.xlsx;0;0;0;0;0;0;0;0;339;339;339;64.75
cze;U:\594020\source\300\TASK 300__DELL_AI Software collection_TRANSLATIONS.xlsx;0;0;0;0;0;0;0;0;339;339;339;58.31
gre;U:\594020\source\300\TASK 300__DELL_AI Software collection_TRANSLATIONS.xlsx;0;0;0;0;0;0;0;0;339;339;339;58.99
pol;U:\594020\source\300\TASK 300__DELL_AI Software collection_TRANSLATIONS.xlsx;0;0;0;0;0;0;0;0;339;339;339;58.99
