Language;File;Context;101%;Repetitions;100% Matches;95% - 99%;85% - 94%;75% - 84%;50% - 74%;No Match;Total;Weighted Wordcounts;Cost
ara;P:\594020\dtp\01_Files_for_Translation\210\210_C202-24_ds-smart-ai_0724_fnl.idml;0;0;2;1;8;36;13;130;264;454;414;87.19
cze;P:\594020\dtp\01_Files_for_Translation\210\210_C202-24_ds-smart-ai_0724_fnl.idml;0;4;2;46;7;12;35;69;279;454;376;68.66
gre;P:\594020\dtp\01_Files_for_Translation\210\210_C202-24_ds-smart-ai_0724_fnl.idml;0;4;2;19;10;24;19;92;284;454;397;76.46
pol;P:\594020\dtp\01_Files_for_Translation\210\210_C202-24_ds-smart-ai_0724_fnl.idml;0;4;2;45;8;4;29;98;264;454;384;70.12
